country,region,religions,politics
British Virgin Islands,Caribbean,"{""Christian"": 84.50, ""Muslim"": 1.20, ""Irreligion"": 3.90, ""Hindu"": 1.20, ""Buddhist"": 0.00, ""Folk religion"": 8.40, ""Other religion"": 0.80, ""Jewish"": 0.00}","[""National Democratic Party or NDP"", ""Progressive Virgin Islands Movement or PVIM"", ""Progressives United or PU"", ""Virgin Islands Party or VIP"", ""Brunei"", ""National Development Party or NDP""]"
United States Virgin Islands,Caribbean,"{""Christian"": 94.80, ""Muslim"": 0.10, ""Irreligion"": 3.70, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.00, ""Other religion"": 0.60, ""Jewish"": 0.30}","[""Democratic Party of the Virgin Islands"",""Republican Party of the Virgin Islands"",""Independent Citizens Movement""]"
Saint-Barthelemy,Caribbean,"{""Christian"": 77.3, ""Muslim"": 0.0, ""Irreligion"": 23.7, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.00, ""Other religion"": 0.0, ""Jewish"": 0.0}","[""All for Saint Barth (Tous pour Saint-Barth)"", ""Saint Barth Action Equilibre"", ""Saint Barth First! (Saint-Barth d'Abord!) or SBA (affiliated with France's Republican party, Les Republicans)"", ""Saint Barth United (Unis pour Saint-Barthelemy)""]"
Saint Martin,Caribbean,"{""Christian"": 82.2, ""Muslim"": 5.2, ""Irreligion"": 7.9, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.00, ""Other religion"": 4.7, ""Jewish"": 0.0}","[""Alternative"", ""Future Saint Martin (Avenir Saint Martin)"", ""Generation Hope or HOPE"", ""Rassemblement Saint-Martinois or RSM (formerly Movement for Justice and Prosperity or MJP)"", ""Saint Martin with You"", ""Union for Democracy or UD""]"
Argentina,South America,"{""Christian"": 85.20, ""Muslim"": 1.00, ""Irreligion"": 12.20, ""Hindu"": 0.00, ""Buddhist"": 0.05, ""Folk religion"": 0.80, ""Other religion"": 0.30, ""Jewish"": 0.50}","[""Avanza Libertad or AL"", ""Civic Coalition ARI or CC-ARI"", ""Consenso Federal (Federal Consensus) or CF"", ""Frente Cívico por Santiago (Civic Front for Santiago)"", ""Frente de Izquierda y de los Trabajadores – Unidad (Workers' Left Front) or FIT-U (coalition of leftist parties in lower house; includes PTS, PO, and MST)"", ""Frente de la Concordia Misionero (Front for the Renewal of Social Concord) or FRCS"", ""Frente Renovador (Renewal Front) or FR"", ""Generación por un Encuentro Nacional (Generation for a National Encounter) or GEN"", ""Hacemos por Córdoba (We do for Cordoba) or HC"", ""Hacemos por Nuestro Pais (We Do For Our Country) or NHP"", ""Juntos por el Cambio (Together for Change) or JxC (includes CC-ARI, PRO, and UCR); note - primary opposition coalition since 2019"", ""Juntos Somos Río Negro (Together We Are Rio Negro) or JSRN"", ""Partido Justicialista (Justicialist Party) or PJ"", ""La Cámpora"", ""La Libertad Avanza (The Liberty Advances) or LLA"", ""Movimiento Popular Neuquino (Neuquén People's Movement) or MPN"", ""Movimiento Socialista de los Trabajadores (Workers' Socialist Movement) or MST"", ""Partido de los Trabajadores Socialistas (Socialist Workers' Party) or PTS"", ""Partido Demócrata (Democratic Party) or PDN"", ""Partido Libertario (Libertarian Party) or PL; note - party is also a founding member of the coalition La Libertad Avanza"", ""Partido Obrero (Workers' Party) or PO"", ""Partido Socialista or PS"", ""Propuesta Republicana (Republican Proposal) or PRO"", ""Unidad Federal (coalition of provencial parties in the lower house; includes FRCS and JSRN)"", ""Unión Cívica Radical (Radical Civic Union) or UCR"", ""Unión por la Patria (Union for the Homeland) or UP (formerly Frente de Todos (Everyone's Front) or FdT) (includes FR, La Cámpora, and PJ); note - ruling coalition since 2019; includes several national and provincial Peronist political parties"", ""Vamos con Vos (Let's Go with You) or VcV""]"
Bolivia,South America,"{""Christian"": 93.90, ""Muslim"": 0.00, ""Irreligion"": 4.10, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.90, ""Other religion"": 1.00, ""Jewish"": 0.00}","[""Community Citizen Alliance or ACC"", ""Front for Victory or FPV"", ""Movement Toward Socialism or MAS"", ""National Unity or UN"", ""Revolutionary Left Front or FRI"", ""Revolutionary Nationalist Movement or MNR"", ""Social Democrat Movement or MDS"", ""Third System Movement or MTS"", ""We Believe or Creemos""]"
Brazil,South America,"{""Christian"": 95.90, ""Muslim"": 0.02, ""Irreligion"": 7.90, ""Hindu"": 0.00, ""Buddhist"": 0.10, ""Folk religion"": 2.80, ""Other religion"": 0.20, ""Jewish"": 0.06}","[""Act (Agir) (formerly Christian Labor Party or PTC)"", ""Avante (formerly Labor Party of Brazil or PTdoB)"", ""Brazil Union (União Brasil); note - founded from a merger between the Democrats (DEM) and the Social Liberal Party (PSL)"", ""Brazilian Communist Party or PCB"", ""Brazilian Democratic Movement or MDB"", ""Brazilian Labor Party or PTB"", ""Brazilian Renewal Labor Party or PRTB"", ""Brazilian Labor Party or PTB"", ""Brazilian Social Democracy Party or PSDB"", ""Brazilian Socialist Party or PSB"", ""Christian Democracy or DC (formerly Christian Social Democratic Party)"", ""Cidadania (formerly Popular Socialist Party or PPS)"", ""Communist Party of Brazil or PCdoB"", ""Democratic Labor Party or PDT"", ""Democratic Party or PSDC"", ""Democrats or DEM (formerly Liberal Front Party or PFL); note - dissolved in February 2022"", ""Green Party or PV"", ""Liberal Party or PL [Valdemar Costa Neto] (formerly Party of the Republic or PR)"", ""National Mobilization Party or PMN"", ""New Party or NOVO"", ""Patriota (formerly National Ecologic Party or PEN)"", ""Podemos (formerly National Labor Party or PTN)"", ""Progressive Party (Progressistas) or PP"", ""Republican Social Order Party or PROS"", ""Republicans (Republicanos) (formerly Brazilian Republican Party or PRB)"", ""Social Christian Party or PSC"", ""Social Democratic Party or PSD"", ""Social Liberal Party or PSL"", ""Socialism and Freedom Party or PSOL"", ""Solidarity or SD"", ""Sustainability Network or REDE"", ""United Socialist Workers' Party or PSTU"", ""Workers' Cause Party or PCO"", ""Workers' Party or PT""]"
Chile,South America,"{""Christian"": 89.40, ""Muslim"": 0.00, ""Irreligion"": 8.60, ""Hindu"": 0.00, ""Buddhist"": 0.06, ""Folk religion"": 1.50, ""Other religion"": 0.20, ""Jewish"": 0.10}","[""Approve Dignity (Apruebo Dignidad) coalition or AD (included PC, FA, and FREVS); note - dissolved 2023"", ""Broad Front Coalition (Frente Amplio) or FA (includes RD, CS, and Comunes)"", ""Chile We Can Do More (Chile Podemos Más) or ChP+ (coalition includes EVOPOLI, PRI, RN, UDI)"", ""Christian Democratic Party or PDC"", ""Common Sense Party or SC"", ""Commons (Comunes)"", ""Communist Party of Chile or PCCh"", ""Democratic Revolution or RD"", ""Democrats or PD"", ""Equality Party or PI"", ""Green Ecological Party or PEV (dissolved 7 February 2022)"", ""Green Popular Alliance or AVP"", ""Humanist Action Party or PAH"", ""Humanist Party or PH"", ""Independent Democratic Union or UDI"", ""Liberal Party (Partido Liberal de Chile) or PL"", ""National Renewal or RN"", ""New Social Pact or NPS (includes PDC, PL, PPD, PRSD, PS)"", ""Party for Democracy or PPD"", ""Party of the People or PDG"", ""Political Evolution or EVOPOLI"", ""Popular Party or PP"", ""Progressive Homeland Party or PRO"", ""Radical Party or PR"", ""Republican Party or PLR"", ""Social Christian Party or PSC"", ""Social Convergence or CS"", ""Social Green Regionalist Federation or FREVS"", ""Socialist Party or PS"", ""Yellow Movement for Chile or AMAR""]"
Colombia,South America,"{""Christian"": 95.90, ""Muslim"": 0.00, ""Irreligion"": 4.00, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 1.00, ""Other religion"": 0.50, ""Jewish"": 0.01}","[""Alternative Democratic Pole or PDA"", ""Citizens Option (Opcion Ciudadana) or OC (formerly known as the National Integration Party or PIN)"", ""The Commons (formerly People's Alternative Revolutionary Force or FARC)"", ""Conservative Party or PC"", ""Democratic Center Party or CD"", ""Fair and Free Colombia (Colombia Justa Libres)"", ""Green Alliance"", ""Historic Pact for Colombia or PHxC (coalition composed of several left-leaning political parties and social movements)"", ""Humane Colombia"", ""Independent Movement of Absolute Renovation or MIRA"", ""League of Anti-Corruption Rulers or LIGA"", ""Liberal Party or PL"", ""People's Alternative Revolutionary Force or FARC"", ""Radical Change or CR"", ""Team for Colombia - also known as the Experience Coalition or Coalition of the Regions (coalition composed of center-right and right-wing parties)"", ""Union Party for the People or U Party"", ""We Believe Colombia or CREEMOS""]"
Ecuador,South America,"{""Christian"": 94.40, ""Muslim"": 0.00, ""Irreligion"": 5.50, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.30, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""Actuemos Ecuador or Actuemos"", ""AMIGO movement, Independent Mobilizing Action Generating Opportunities (Movimiento AMIGO (Acción Movilizadora Independiente Generando Oportunidades)) or AM16O"", ""Avanza Party or AVANZA"", ""Central Democratic Movement or CD"", ""Citizen Revolution Movement or MRC or RC5"", ""Creating Opportunities Movement or CREO"", ""Democratic Left or ID"", ""Democracy Yes Movement (Movimiento Democracia Si)"", ""For A Country Without Fear (Por Un País Sin Miedo) (an alliance including PSC, CD, and PSP)"", ""Green Movement (Movimiento Verde)"", ""Movimiento Construye or Construye"", ""National Democratic Action (Acción Democrática Nacional) or ADN"", ""Pachakutik Plurinational Unity Movement or MUPP"", ""Patriotic Society Party or PSP"", ""People, Equality, and Democracy Party (Partido Pueblo, Igualdad y Democracia) or PID"", ""Popular Unity Party (Partido Unidad Popular) or UP"", ""Revolutionary and Democratic Ethical Green Movement (Movimiento Verde Ético Revolucionario y Democrático) or MOVER"", ""Social Christian Party or PSC"", ""Socialist Party"", ""Society United for More Action or SUMA"", ""Total Renovation Movement (Movimiento Renovacion Total) or RETO""]"
Falkland Islands,South America,"{""Christian"": 67.20, ""Muslim"": 0.30, ""Irreligion"": 31.50, ""Hindu"": 0.00, ""Buddhist"": 0.20, ""Folk religion"": 0.00, ""Other religion"": 0.80, ""Jewish"": 0.00}","[""none""]"
French Guiana,South America,"{""Christian"": 84.40, ""Muslim"": 0.90, ""Irreligion"": 3.40, ""Hindu"": 1.60, ""Buddhist"": 0.00, ""Folk religion"": 9.10, ""Other religion"": 0.50, ""Jewish"": 0.00}","[""Guianese Socialist Party"",""Péyi Guyane"",""Guiana Rally"",""Decolonization and Social Emancipation Movement"",""Democratic Forces of Guiana"",""Walwari"",""Asewa""]"
Guyana,South America,"{""Christian"": 66.00, ""Muslim"": 6.40, ""Irreligion"": 2.00, ""Hindu"": 27.90, ""Buddhist"": 0.00, ""Folk religion"": 0.20, ""Other religion"": 0.60, ""Jewish"": 0.00}","[""A New and United Guyana or ANUG"", ""A Partnership for National Unity or APNU"", ""Alliance for Change or AFC"", ""Justice for All Party"", ""Liberty and Justice Party or LJP"", ""National Independent Party or NIP"", ""People's Progressive Party/Civic or PPP/C"", ""The New Movement or TNM"", ""The United Force or TUF"", ""United Republican Party or URP""]"
Paraguay,South America,"{""Christian"": 96.90, ""Muslim"": 0.00, ""Irreligion"": 1.10, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 1.70, ""Other religion"": 0.20, ""Jewish"": 0.00}","[""Asociacion Nacional Republicana (National Republican Association) - Colorado Party or ANR"", ""Avanza Pais coalition or AP"", ""Frente Guasu (Broad Front coalition) or FG"", ""GANAR Alliance (Great Renewed National Alliance) (alliance between PLRA and Guasú Front)"", ""Movimiento Hagamos or MH"", ""Movimiento Union Nacional de Ciudadanos Eticos (National Union of Ethical Citizens) or UNACE"", ""Partido Cruzada Nacional (National Crusade Party) or PCN; note - formerly Movimiento Cruzada Nacional"", ""Partido del Movimiento al Socialismo or P-MAS"", ""Partido Democratica Progresista (Progressive Democratic Party) or PDP"", ""Partido Encuentro Nacional or PEN"", ""Partido Liberal Radical Autentico (Authentic Radical Liberal Party) or PLRA"", ""Partido Pais Solidario or PPS"", ""Partido Popular Tekojoja or PPT"", ""Patria Querida (Beloved Fatherland Party) or PPQ""]"
Peru,South America,"{""Christian"": 94.40, ""Muslim"": 0.00, ""Irreligion"": 6.50, ""Hindu"": 0.00, ""Buddhist"": 0.20, ""Folk religion"": 1.00, ""Other religion"": 0.30, ""Jewish"": 0.00}","[""Advance the Nation (Avanza País) or AvP"", ""Alliance for Progress (Alianza para el Progreso) or APP"", ""Broad Front (Frente Amplio) or FA"", ""Free Peru (Perú Libre) or PL"", ""Front for Hope (Frente Esperanza)"", ""Magisterial Block of National Concentration (Bloque Magisterial de Concertación Nacional) or BMCN"", ""National Victory (Victoria Nacional) or VN"", ""Peru Bicentennial (Perú Bicentenario) or PB"", ""Popular Action (Acción Popular) or AP"", ""Popular Force (Fuerza Popular) or FP"", ""Popular Renewal (Renovación Popular) or RP"", ""Purple Party (Partido Morado)"", ""Social Integration Party (Avanza País - Partido de Integración Social)"", ""Together For Perú (Juntos por el Peru) or JP"", ""We Are Peru (Somos Perú) of SP"", ""We Can Peru (Podemos Perú) or PP""]"
Suriname,South America,"{""Christian"": 51.60, ""Muslim"": 15.20, ""Irreligion"": 5.40, ""Hindu"": 19.80, ""Buddhist"": 0.60, ""Folk religion"": 5.30, ""Other religion"": 1.80, ""Jewish"": 0.20}","[""Brotherhood and Unity in Politics or BEP"", ""Democratic Alternative '91 or DA91"", ""General Liberation and Development Party or ABOP"", ""National Democratic Party or NDP"", ""National Party of Suriname or NPS"", ""Party for Democracy and Development in Unity or DOE"", ""Party for National Unity and Solidarity or KTPI"", ""People's Alliance (Pertjajah Luhur) or PL"", ""Progressive Workers' and Farmers' Union or PALU"", ""Progressive Reform Party or VHP"", ""Reform and Renewal Movement or HVB"", ""Surinamese Labor Party or SPA""]"
Uruguay,South America,"{""Christian"": 57.90, ""Muslim"": 0.00, ""Irreligion"": 40.70, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.80, ""Other religion"": 0.30, ""Jewish"": 0.30}","[""Broad Front or FA (Frente Amplio) - (a broad governing coalition that comprises 34 factions including Popular Participation Movement or MPP, Uruguay Assembly, Progressive Alliance, Broad Social Democratic Space, Socialist Party, Vertiente Artiguista, Christian Democratic Party, Big House, Communist Party, The Federal League, Fuerza Renovadora)"", ""Colorado Party or PC (including Batllistas and Ciudadanos)"", ""Intransigent Radical Ecologist Party (Partido Ecologista Radical Intransigente) or PERI"", ""Independent Party"", ""National Party or PN (including Todos (Everyone) and National Alliance)"", ""Open Cabildo"", ""Popular Unity""]"
Venezuela,South America,"{""Christian"": 89.30, ""Muslim"": 0.30, ""Irreligion"": 10.00, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.20, ""Other religion"": 0.07, ""Jewish"": 0.00}","[""A New Era (Un Nuevo Tiempo) or UNT"", ""Cambiemos Movimiento Ciudadano or CMC"", ""Christian Democrats or COPEI (also known as the Social Christian Party)"", ""Citizens Encounter or EC"", ""Clear Accounts or CC"", ""Coalition of parties loyal to Nicolas MADURO - Great Patriotic Pole or GPP"", ""Coalition of opposition parties - Democratic Alliance (Alianza Democratica) (includes AD, EL CAMBIO, COPEI, CMC, and AP)"", ""Come Venezuela (Vente Venezuela) or VV"", ""Communist Party of Venezuela or PCV"", ""Consenso en la Zona or Conenzo"", ""Convergencia"", ""Democratic Action or AD"", ""Fatherland for All (Patria para Todos) or PPT"", ""Fearless People's Alliance or ABP"", ""Fuerza Vecinal or FV"", ""Hope for Change (Esperanza por el Cambio) or EL CAMBIO"", ""Justice First (Primero Justicia) or PJ"", ""LAPIZ"", ""Movement to Socialism (Movimiento al Socialismo) or MAS"", ""Popular Will (Voluntad Popular) or VP"", ""Progressive Advance (Avanzada Progresista) or AP"", ""The Radical Cause or La Causa R"", ""United Socialist Party of Venezuela or PSUV"", ""Venezuela First (Primero Venezuela) or PV"", ""Venezuelan Progressive Movement or MPV"", ""Venezuela Project or PV""]"
Bouvet Island,South America,"{""Christian"": 100.0, ""Muslim"": 100.0, ""Irreligion"": 100.0, ""Hindu"": 100.00, ""Buddhist"": 100.00, ""Folk religion"": 100.0, ""Other religion"": 100.0, ""Jewish"": 100.00}","[""none""]"
South Georgia and the South Sandwich Islands,South America,"{""Christian"": 100.0, ""Muslim"": 100.0, ""Irreligion"": 100.0, ""Hindu"": 100.00, ""Buddhist"": 100.00, ""Folk religion"": 100.0, ""Other religion"": 100.0, ""Jewish"": 100.00}","[""none""]"
Belize,Central America,"{""Christian"": 87.60, ""Muslim"": 0.10, ""Irreligion"": 8.90, ""Hindu"": 0.20, ""Buddhist"": 0.50, ""Folk religion"": 1.50, ""Other religion"": 0.10, ""Jewish"": 1.00}","[""Belize People’s Front or BPF"", ""Belize Progressive Party or BPP (formed in 2015 from a merger of the People's National Party, elements of the Vision Inspired by the People, and other smaller political groups)"", ""People's United Party or PUP"", ""United Democratic Party or UDP"", ""Vision Inspired by the People or VIP""]"
Costa Rica,Central America,"{""Christian"": 90.90, ""Muslim"": 0.00, ""Irreligion"": 7.90, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.80, ""Other religion"": 0.30, ""Jewish"": 0.00}","[""Accessibility Without Exclusion or PASE"", ""Broad Front (Frente Amplio) or PFA"", ""Citizen Action Party or PAC"", ""Costa Rican Renewal Party or PRC"", ""Here Costa Rica Commands Party or ACRM"", ""Liberal Progressive Party or PLP"", ""Libertarian Movement Party or ML"", ""National Integration Party or PIN"", ""National Liberation Party or PLN"", ""National Restoration Party or PRN"", ""New Generation or PNG"", ""New Republic Party or PNR"", ""Social Christian Republican Party or PRSC"", ""Social Christian Unity Party or PUSC of UNIDAD"", ""Social Democratic Progress Party or PPSD""]"
El Salvador,Central America,"{""Christian"": 88.20, ""Muslim"": 0.00, ""Irreligion"": 11.00, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.50, ""Other religion"": 0.30, ""Jewish"": 0.00}","[""Christian Democratic Party or PDC"", ""Farabundo Marti National Liberation Front or FMLN"", ""Great Alliance for National Unity or GANA"", ""National Coalition Party or PCN"", ""Nationalist Republican Alliance or ARENA"", ""New Ideas (Nuevas Ideas) or NI"", ""Our Time (Nuestro Tiempo) or NT"", ""Vamos or V""]"
Guatemala,Central America,"{""Christian"": 95.20, ""Muslim"": 0.00, ""Irreligion"": 4.10, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.60, ""Other religion"": 0.07, ""Jewish"": 0.00}","[""Bienestar Nacional or BIEN"", ""Blue Party (Partido Azul) or Blue"", ""CABAL"", ""Cambio"", ""Citizen Prosperity or PC"", ""Commitment, Renewal, and Order or CREO"", ""Elephant Community (Comunidad Elefante) or Elephant"", ""Everyone Together for Guatemala or TODOS"", ""Guatemalan National Revolutionary Unity or URNG-MAIZ or URNG"", ""Humanist Party of Guatemala or PHG"", ""Movement for the Liberation of Peoples or MLP"", ""Movimiento Semilla or SEMILLA"", ""National Advancement Party or PAN"", ""National Convergence Front or FCN-NACION"", ""National Unity for Hope or UNE"", ""Nationalist Change Union or UCN (dissolved 16 December 2021)"", ""Nosotros or PPN"", ""PODEMOS"", ""Political Movement Winaq or Winaq"", ""TODOS"", ""Value or VALOR"", ""Vamos por una Guatemala Diferente or VAMOS"", ""Victory or VICTORIA"", ""Vision with Values or VIVA"", ""Will, Opportunity and Solidarity (Voluntad, Oportunidad y Solidaridad) or VOS""]"
Honduras,Central America,"{""Christian"": 87.60, ""Muslim"": 0.10, ""Irreligion"": 10.50, ""Hindu"": 0.00, ""Buddhist"": 0.10, ""Folk religion"": 1.10, ""Other religion"": 0.60, ""Jewish"": 0.00}","[""Anti-Corruption Party or PAC"", ""Christian Democratic Party or DC"", ""Democratic Liberation of Honduras or Liderh"", ""Democratic Unification Party or UD"", ""The Front or El Frente"", ""Honduran Patriotic Alliance or AP"", ""Innovation and Unity Party or PINU"", ""Liberal Party or PL"", ""Liberty and Refoundation Party or LIBRE"", ""National Party of Honduras or PNH"", ""New Route or NR"", ""Opposition Alliance against the Dictatorship or Alianza de Oposicion contra la Dictadura (electoral coalition)"", ""Savior Party of Honduras or PSH"", ""Vamos or Let’s Go"", ""We Are All Honduras (Todos Somos Honduras) or TSH""]"
Nicaragua,Central America,"{""Christian"": 85.80, ""Muslim"": 0.00, ""Irreligion"": 12.50, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 1.40, ""Other religion"": 0.10, ""Jewish"": 0.00}","[""Alliance for the Republic or APRE"", ""Alternative for Change or AC (operates in a political alliance with the FSLN)"", ""Autonomous Liberal Party or PAL"", ""Caribbean Unity Movement or PAMUC"", ""Christian Unity Party or PUC (operates in a political alliance with the FSLN)"", ""Independent Liberal Party or PLI"", ""Liberal Constitutionalist Party or PLC"", ""Moskitia Indigenous Progressive Movement or MOSKITIA PAWANKA (operates in a political alliance with the FSLN)"", ""Multiethnic Indigenous Party or PIM (operates in a political alliance with the FSLN)"", ""Nationalist Liberal Party or PLN (operates in a political alliance with the FSLN)"", ""Nicaraguan Liberal Alliance or ALN"", ""Nicaraguan Party of the Christian Path or CCN"", ""Nicaraguan Resistance Party or PRN (operates in a political alliance with the FSLN)"", ""Sandinista National Liberation Front or FSLN"", ""Sons of Mother Earth or YATAMA"", ""The New Sons of Mother Earth Movement or MYATAMARAN (operates in a political alliance with the FSLN)""]"
Panama,Central America,"{""Christian"": 93.00, ""Muslim"": 0.70, ""Irreligion"": 4.80, ""Hindu"": 0.00, ""Buddhist"": 0.20, ""Folk religion"": 0.40, ""Other religion"": 0.40, ""Jewish"": 0.40}","[""Alliance Party or PA"", ""Alternative Independent Socialist Party or PAIS"", ""Another Way Movement or MOCA"", ""Democratic Change or CD"", ""Democratic Revolutionary Party or PRD"", ""Nationalist Republican Liberal Movement or MOLIRENA"", ""Panameñista Party (formerly the Arnulfista Party)"", ""Popular Party or PP (formerly Christian Democratic Party or PDC)"", ""Realizing Goals Party or RM""]"
Mexico,Central America,"{""Christian"": 91.3, ""Muslim"": 0.0, ""Irreligion"": 8.4, ""Hindu"": 0.00, ""Buddhist"": 0.0, ""Folk religion"": 0.0, ""Other religion"": 0.30, ""Jewish"": 0.0}","[""Citizen's Movement (Movimiento Ciudadano) or MC"", ""Institutional Revolutionary Party (Partido Revolucionario Institucional) or PRI"", ""Labor Party (Partido del Trabajo) or PT"", ""Mexican Green Ecological Party (Partido Verde Ecologista de México) or PVEM"", ""Movement for National Regeneration (Movimiento Regeneración Nacional) or MORENA"", ""National Action Party (Partido Acción Nacional) or PAN"", ""Party of the Democratic Revolution (Partido de la Revolución Democrática) or PRD"", ""This Is For Mexico (Va Por México) (alliance that includes PAN, PRI, and PRD)"", ""Together We Make History (Juntos Hacemos Historia) (alliance that included MORENA, PT, PVEM) (dissolved 23 December 2020)""]"
Bermuda,Northern America,"{""Christian"": 75.00, ""Muslim"": 1.10, ""Irreligion"": 19.40, ""Hindu"": 0.00, ""Buddhist"": 0.50, ""Folk religion"": 3.00, ""Other religion"": 0.80, ""Jewish"": 0.30}","[""Free Democratic Movement or FDM"", ""One Bermuda Alliance or OBA"", ""Progressive Labor Party or PLP""]"
Canada,Northern America,"{""Christian"": 53.3, ""Muslim"": 4.9, ""Irreligion"": 34.6, ""Hindu"": 2.3, ""Buddhist"": 1.0, ""Folk religion"": 0.2, ""Other religion"": 2.7, ""Jewish"": 0.9}","[""Bloc Quebecois"", ""Conservative Party of Canada or CPC"", ""Green Party"", ""Liberal Party"", ""New Democratic Party or NDP"", ""People's Party of Canada""]"
Greenland,Northern America,"{""Christian"": 96.10, ""Muslim"": 0.00, ""Irreligion"": 2.50, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.80, ""Other religion"": 0.60, ""Jewish"": 0.00}","[""Democrats Party (Demokraatit) or D"", ""Fellowship Party (Atassut) or A"", ""Forward Party (Siumut) or S"", ""Inuit Community (Inuit Ataqatigiit) or IA"", ""Signpost Party (Naleraq) or N (formerly Partii Naleraq)""]"
Saint Pierre and Miquelon,Northern America,"{""Christian"": 94.70, ""Muslim"": 0.20, ""Irreligion"": 3.80, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.00, ""Other religion"": 1.30, ""Jewish"": 0.00}","[""Archipelago Tomorrow (Archipel Domain) or AD (affiliated with The Republicans)"", ""Focus on the Future (Cap sur l'Avenir) (affiliated with Left Radical Party)"", ""Together to Build (Ensemble pour Construire)""]"
United States,Northern America,"{""Christian"": 77.30, ""Muslim"": 0.90, ""Irreligion"": 16.40, ""Hindu"": 0.60, ""Buddhist"": 1.20, ""Folk religion"": 0.20, ""Other religion"": 0.60, ""Jewish"": 1.80}","[""Democratic Party"", ""Green Party"", ""Libertarian Party"", ""Republican Party""]"
Kazakhstan,Central Asia,"{""Christian"": 24.8, ""Muslim"": 70.4, ""Irreligion"": 4.2, ""Hindu"": 0.01, ""Buddhist"": 0.2, ""Folk religion"": 0.3, ""Other religion"": 0.1, ""Jewish"": 0.00}","[""Ak Zhol Democratic Party or Ak Zhol"", ""Amanat Party (formerly Nur Otan (Radiant Fatherland))"", ""Auyl People's Democratic Patriotic Party or Auyl"", ""Baytak (Boundless) Party"", ""National Social Democratic Party or NSDP"", ""People's Democratic (Patriotic) Party or Auyl or AHDPP"", ""People's Party of Kazakhstan or PPK"", ""Respublica""]"
Kyrgyzstan,Central Asia,"{""Christian"": 11.40, ""Muslim"": 88.0, ""Irreligion"": 0.40, ""Hindu"": 0.01, ""Buddhist"": 0.00, ""Folk religion"": 0.1, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""Afghan's Party"", ""Alliance"", ""Ata-Jurt Kyrgyzstan (Fatherland) or AJK"", ""Cohesion"", ""Ishenim (Trust)"", ""Light of Faith"", ""Mekenchil or the Patriotic Political Party"", ""Social Democrats or SDK"", ""United Kyrgyzstan"", ""Yntymak (Unity)""]"
Tajikistan,Central Asia,"{""Christian"": 1.6, ""Muslim"": 96.7, ""Irreligion"": 1.5, ""Hindu"": 0.01, ""Buddhist"": 0.00, ""Folk religion"": 0.00, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""Agrarian Party of Tajikistan or APT"", ""Communist Party of Tajikistan or CPT"", ""Democratic Party of Tajikistan or DPT"", ""Party of Economic Reform of Tajikistan or PERT"", ""People's Democratic Party of Tajikistan or PDPT"", ""Social Democratic Party of Tajikistan or SDPT"", ""Socialist Party of Tajikistan or SPT""]"
Turkmenistan,Central Asia,"{""Christian"": 6.4, ""Muslim"": 93.0, ""Irreligion"": 0.5, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.00, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""Agrarian Party of Turkmenistan or APT"", ""Democratic Party of Turkmenistan or DPT"", ""Party of Industrialists and Entrepreneurs or PIE""]"
Uzbekistan,Central Asia,"{""Christian"": 2.3, ""Muslim"": 96.7, ""Irreligion"": 0.8, ""Hindu"": 0.01, ""Buddhist"": 0.00, ""Folk religion"": 0.00, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""Ecological Party of Uzbekistan (O'zbekiston Ekologik Partivasi)"", ""Justice (Adolat) Social Democratic Party of Uzbekistan"", ""Liberal Democratic Party of Uzbekistan (O'zbekiston Liberal-Demokratik Partiyasi) or LDPU"", ""National Revival Democratic Party of Uzbekistan (O'zbekiston Milliy Tiklanish Demokratik Partiyasi)"", ""People's Democratic Party of Uzbekistan (Xalq Demokratik Partiyas) or PDP (formerly Communist Party)""]"
China,Eastern Asia,"{""Christian"": 5.10, ""Muslim"": 1.80, ""Irreligion"": 52.20, ""Hindu"": 0.01, ""Buddhist"": 18.20, ""Folk religion"": 21.90, ""Other religion"": 0.70, ""Jewish"": 0.00}","[""Chinese Communist Party or CCP""]"
